Method,NMSE_mean,NMSE_std,Range_RMSE_mean,Range_RMSE_std,FLOPs,Parameters
LMMSE,-6.724373640663735,0.006997790379666976,0.6899495593377963,0.047969417643967956,524288,0
Transformer,-14.64317258199056,0.024432828829963265,3.3562286694844565,0.21118578648610692,29239296,984899
Mamba-ISAC,-14.766545931498209,0.004868548784651813,2.582604964574178,0.08881737088718808,40773632,1020099
