T,LMMSE_NMSE,LMMSE_Lat_ms,Transformer_NMSE,Transformer_Lat_ms,Mamba_NMSE,Mamba_Lat_ms
4,-3.426553087570192,0.24709000001166714,-13.573775291442871,2.282056000040029,-12.0786714553833,0.451
8,-2.597293842873932,0.4012480002347729,-14.160080909729004,2.2485219999362016,-13.31549072265625,0.462
16,-4.114901109187258,0.7004059998871526,-14.620622634887695,2.6492680000228574,-14.747065544128418,0.485
32,-3.92623132562041,1.2185280001358478,-13.537980079650879,2.466761999967275,-12.038259506225586,0.528
64,-3.5852126151356076,2.3440880000634934,-10.201461791992188,2.281877999776043,-8.503044128417969,0.645
128,-3.7787843955384166,4.263053999748081,-11.389998435974121,2.380353999978979,-8.102849960327148,0.897
256,-2.6983867968444657,9.165282000321895,-10.719062805175781,3.2156140000370215,-7.480895519256592,1.398
