velocity_ms,velocity_kmh,LMMSE_NMSE,Transformer_NMSE,Mamba_NMSE
5.0,18.0,-4.122868368994277,-14.115489959716797,-14.519681930541992
15.0,54.0,-4.114901109187258,-14.620622634887695,-14.747065544128418
30.0,108.0,-4.109585023788359,-13.786890029907227,-14.219504356384277
60.0,216.0,-4.115377787644819,-10.56185531616211,-10.014230728149414
120.0,432.0,-4.150254245204953,-11.755350112915039,-11.395806312561035
