pilot_spacing,pilot_overhead_pct,LMMSE_NMSE,Transformer_NMSE,Mamba_NMSE
2,50.0,-4.273183534255521,0.10495644807815552,0.11654600501060486
4,25.0,-4.114901109187258,1.7761980295181274,1.8007080554962158
8,12.5,-2.791386395336795,2.2719085216522217,2.380004405975342
16,6.25,0.5646052201878717,2.2641494274139404,2.3381338119506836
