SNR_dB,LMMSE_NMSE,LMMSE_Range_RMSE,Transformer_NMSE,Transformer_Range_RMSE,Mamba_NMSE,Mamba_Range_RMSE
-10,-10.394842795469065,1.011130416543154,10.0113525390625,3.2316763401031494,10.015339851379395,3.1384241580963135
-5,-10.406262874100037,0.8785485310836528,5.014105796813965,3.460709810256958,5.017035484313965,2.9048001766204834
0,-10.390471442346549,0.7733677497719197,0.022743292152881622,3.595958948135376,0.022489383816719055,2.825521469116211
5,-10.03962600893892,0.7626996792646431,-4.949702739715576,3.666437864303589,-4.960300922393799,2.797572612762451
10,-8.604323595756815,0.7495932946937645,-9.862911224365234,3.7042784690856934,-9.906350135803223,2.7874743938446045
15,-6.709590514924849,0.7403759452582461,-14.598015785217285,3.7248356342315674,-14.740066528320312,2.783827543258667
20,-5.5990595574592374,0.7403759452582461,-18.850996017456055,3.736457109451294,-19.25263786315918,2.7824723720550537
25,-5.159930005167315,0.7388157391918778,-22.08843231201172,3.7428109645843506,-22.995555877685547,2.7818338871002197
30,-5.010432043164674,0.7388157391918778,-23.95843505859375,3.7462801933288574,-25.45549774169922,2.7816860675811768
